,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name,hourly_counts
279,2887906,2019-11-01T22:00:00.000,2019,November,1,Friday,22,40,Lonsdale St-Spring St (West),351
280,2887907,2019-11-01T22:00:00.000,2019,November,1,Friday,22,36,Queen St (West),390
281,2887908,2019-11-01T22:00:00.000,2019,November,1,Friday,22,29,St Kilda Rd-Alexandra Gardens,367
282,2887909,2019-11-01T22:00:00.000,2019,November,1,Friday,22,42,Grattan St-Swanston St (West),136
283,2887910,2019-11-01T22:00:00.000,2019,November,1,Friday,22,43,Monash Rd-Swanston St (West),14
284,2887911,2019-11-01T22:00:00.000,2019,November,1,Friday,22,44,Tin Alley-Swanston St (West),25
285,2887912,2019-11-01T22:00:00.000,2019,November,1,Friday,22,35,Southbank,1503
286,2887913,2019-11-01T22:00:00.000,2019,November,1,Friday,22,45,Little Collins St-Swanston St (East),1082
287,2887914,2019-11-01T22:00:00.000,2019,November,1,Friday,22,46,Pelham St (S),66
288,2887915,2019-11-01T22:00:00.000,2019,November,1,Friday,22,47,Melbourne Central-Elizabeth St (East),753
289,2887916,2019-11-01T22:00:00.000,2019,November,1,Friday,22,48,QVM-Queen St (East),149
290,2887917,2019-11-01T22:00:00.000,2019,November,1,Friday,22,49,QVM-Therry St (South),169
291,2887918,2019-11-01T22:00:00.000,2019,November,1,Friday,22,50,Faraday St-Lygon St (West),423
292,2887919,2019-11-01T22:00:00.000,2019,November,1,Friday,22,51,QVM-Franklin St (North),109
293,2887920,2019-11-01T22:00:00.000,2019,November,1,Friday,22,52,Elizabeth St-Lonsdale St (South),576
294,2887921,2019-11-01T22:00:00.000,2019,November,1,Friday,22,54,Lincoln-Swanston(West),132
295,2887922,2019-11-01T22:00:00.000,2019,November,1,Friday,22,55,Elizabeth St-La Trobe St (East),1286
296,2887923,2019-11-01T22:00:00.000,2019,November,1,Friday,22,56,Lonsdale St - Elizabeth St (North),309
297,2887924,2019-11-01T22:00:00.000,2019,November,1,Friday,22,57,Bourke St Bridge,128
298,2887925,2019-11-01T22:00:00.000,2019,November,1,Friday,22,58,Bourke St - Spencer St (North),573
299,2887926,2019-11-01T22:00:00.000,2019,November,1,Friday,22,59,Swanston St - RMIT Building 80,10
300,2887927,2019-11-01T22:00:00.000,2019,November,1,Friday,22,61,Swanston St - RMIT Building 14,494
301,2887928,2019-11-01T22:00:00.000,2019,November,1,Friday,22,62,La Trobe St (North),235
302,2887929,2019-11-01T23:00:00.000,2019,November,1,Friday,23,4,Town Hall (West),1064
303,2887930,2019-11-01T23:00:00.000,2019,November,1,Friday,23,17,Collins Place (South),144
304,2887931,2019-11-01T23:00:00.000,2019,November,1,Friday,23,18,Collins Place (North),83
305,2887932,2019-11-01T23:00:00.000,2019,November,1,Friday,23,53,Collins St (North),239
306,2887933,2019-11-01T23:00:00.000,2019,November,1,Friday,23,2,Bourke Street Mall (South),238
307,2887934,2019-11-01T23:00:00.000,2019,November,1,Friday,23,1,Bourke Street Mall (North),391
308,2887935,2019-11-01T23:00:00.000,2019,November,1,Friday,23,3,Melbourne Central,1537
309,2887936,2019-11-01T23:00:00.000,2019,November,1,Friday,23,15,State Library,550
310,2887937,2019-11-01T23:00:00.000,2019,November,1,Friday,23,9,Southern Cross Station,94
311,2887938,2019-11-01T23:00:00.000,2019,November,1,Friday,23,10,Victoria Point,44
312,2887939,2019-11-01T23:00:00.000,2019,November,1,Friday,23,12,New Quay,234
313,2887940,2019-11-01T23:00:00.000,2019,November,1,Friday,23,11,Waterfront City,57
314,2887941,2019-11-01T23:00:00.000,2019,November,1,Friday,23,8,Webb Bridge,85
315,2887942,2019-11-01T23:00:00.000,2019,November,1,Friday,23,7,Birrarung Marr,823
316,2887943,2019-11-01T23:00:00.000,2019,November,1,Friday,23,5,Princes Bridge,1306
317,2887944,2019-11-01T23:00:00.000,2019,November,1,Friday,23,6,Flinders Street Station Underpass,1263
318,2887945,2019-11-01T23:00:00.000,2019,November,1,Friday,23,14,Sandridge Bridge,14
319,2887946,2019-11-01T23:00:00.000,2019,November,1,Friday,23,26,QV Market-Elizabeth St (West),316
320,2887947,2019-11-01T23:00:00.000,2019,November,1,Friday,23,24,Spencer St-Collins St (North),672
321,2887948,2019-11-01T23:00:00.000,2019,November,1,Friday,23,23,Spencer St-Collins St (South),151
322,2887949,2019-11-01T23:00:00.000,2019,November,1,Friday,23,25,Melbourne Convention Exhibition Centre,696
323,2887950,2019-11-01T23:00:00.000,2019,November,1,Friday,23,21,Bourke St-Russell St (West),667
324,2887951,2019-11-01T23:00:00.000,2019,November,1,Friday,23,20,Chinatown-Lt Bourke St (South),473
325,2887952,2019-11-01T23:00:00.000,2019,November,1,Friday,23,19,Chinatown-Swanston St (North),700
326,2887953,2019-11-01T23:00:00.000,2019,November,1,Friday,23,22,Flinders St-Elizabeth St (East),1515
327,2887954,2019-11-01T23:00:00.000,2019,November,1,Friday,23,27,QV Market-Peel St,82
328,2887955,2019-11-01T23:00:00.000,2019,November,1,Friday,23,28,The Arts Centre,353
329,2887956,2019-11-01T23:00:00.000,2019,November,1,Friday,23,31,Lygon St (West),541
330,2887957,2019-11-01T23:00:00.000,2019,November,1,Friday,23,30,Lonsdale St (South),732
331,2887958,2019-11-01T23:00:00.000,2019,November,1,Friday,23,34,Flinders St-Spark La,154
332,2887959,2019-11-01T23:00:00.000,2019,November,1,Friday,23,39,Alfred Place,55
333,2887960,2019-11-01T23:00:00.000,2019,November,1,Friday,23,37,Lygon St (East),139
334,2887961,2019-11-01T23:00:00.000,2019,November,1,Friday,23,40,Lonsdale St-Spring St (West),137
335,2887962,2019-11-01T23:00:00.000,2019,November,1,Friday,23,36,Queen St (West),365
336,2887963,2019-11-01T23:00:00.000,2019,November,1,Friday,23,29,St Kilda Rd-Alexandra Gardens,394
337,2887964,2019-11-01T23:00:00.000,2019,November,1,Friday,23,42,Grattan St-Swanston St (West),103
338,2887965,2019-11-01T23:00:00.000,2019,November,1,Friday,23,43,Monash Rd-Swanston St (West),21
339,2887966,2019-11-01T23:00:00.000,2019,November,1,Friday,23,44,Tin Alley-Swanston St (West),27
340,2887967,2019-11-01T23:00:00.000,2019,November,1,Friday,23,35,Southbank,960
341,2887968,2019-11-01T23:00:00.000,2019,November,1,Friday,23,45,Little Collins St-Swanston St (East),748
342,2887969,2019-11-01T23:00:00.000,2019,November,1,Friday,23,46,Pelham St (S),50
343,2887970,2019-11-01T23:00:00.000,2019,November,1,Friday,23,47,Melbourne Central-Elizabeth St (East),615
344,2887971,2019-11-01T23:00:00.000,2019,November,1,Friday,23,48,QVM-Queen St (East),105
345,2887972,2019-11-01T23:00:00.000,2019,November,1,Friday,23,49,QVM-Therry St (South),110
346,2887973,2019-11-01T23:00:00.000,2019,November,1,Friday,23,50,Faraday St-Lygon St (West),139
347,2887974,2019-11-01T23:00:00.000,2019,November,1,Friday,23,51,QVM-Franklin St (North),78
348,2887975,2019-11-01T23:00:00.000,2019,November,1,Friday,23,52,Elizabeth St-Lonsdale St (South),416
349,2887976,2019-11-01T23:00:00.000,2019,November,1,Friday,23,54,Lincoln-Swanston(West),98
350,2887977,2019-11-01T23:00:00.000,2019,November,1,Friday,23,55,Elizabeth St-La Trobe St (East),1005
351,2887978,2019-11-01T23:00:00.000,2019,November,1,Friday,23,56,Lonsdale St - Elizabeth St (North),245
352,2887979,2019-11-01T23:00:00.000,2019,November,1,Friday,23,57,Bourke St Bridge,119
353,2887980,2019-11-01T23:00:00.000,2019,November,1,Friday,23,58,Bourke St - Spencer St (North),373
354,2887981,2019-11-01T23:00:00.000,2019,November,1,Friday,23,59,Swanston St - RMIT Building 80,6
355,2887982,2019-11-01T23:00:00.000,2019,November,1,Friday,23,61,Swanston St - RMIT Building 14,320
356,2887983,2019-11-01T23:00:00.000,2019,November,1,Friday,23,62,La Trobe St (North),176
357,2887984,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,4,Town Hall (West),1064
358,2887985,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,17,Collins Place (South),77
359,2887986,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,18,Collins Place (North),47
360,2887987,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,53,Collins St (North),172
361,2887988,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,2,Bourke Street Mall (South),189
362,2887989,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,1,Bourke Street Mall (North),205
363,2887990,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,3,Melbourne Central,986
364,2887991,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,15,State Library,302
365,2887992,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,9,Southern Cross Station,28
366,2887993,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,10,Victoria Point,13
367,2887994,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,12,New Quay,75
368,2887995,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,11,Waterfront City,17
369,2887996,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,8,Webb Bridge,17
370,2887997,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,7,Birrarung Marr,54
371,2887998,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,5,Princes Bridge,614
372,2887999,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,6,Flinders Street Station Underpass,796
373,2888000,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,14,Sandridge Bridge,12
374,2888001,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,26,QV Market-Elizabeth St (West),249
375,2888002,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,24,Spencer St-Collins St (North),361
376,2888003,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,23,Spencer St-Collins St (South),90
377,2888004,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,25,Melbourne Convention Exhibition Centre,453
378,2888005,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,21,Bourke St-Russell St (West),623
379,2888006,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,20,Chinatown-Lt Bourke St (South),228
380,2888007,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,19,Chinatown-Swanston St (North),399
381,2888008,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,22,Flinders St-Elizabeth St (East),743
382,2888009,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,27,QV Market-Peel St,46
383,2888010,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,28,The Arts Centre,185
384,2888011,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,31,Lygon St (West),178
385,2888012,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,30,Lonsdale St (South),556
386,2888013,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,34,Flinders St-Spark La,21
387,2888014,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,39,Alfred Place,52
388,2888015,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,37,Lygon St (East),45
389,2888016,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,40,Lonsdale St-Spring St (West),76
390,2888017,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,36,Queen St (West),254
391,2888018,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,29,St Kilda Rd-Alexandra Gardens,118
392,2888019,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,42,Grattan St-Swanston St (West),174
393,2888020,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,43,Monash Rd-Swanston St (West),26
394,2888021,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,44,Tin Alley-Swanston St (West),24
395,2888022,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,35,Southbank,421
396,2888023,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,45,Little Collins St-Swanston St (East),465
397,2888024,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,46,Pelham St (S),32
398,2888025,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,47,Melbourne Central-Elizabeth St (East),408
399,2888026,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,48,QVM-Queen St (East),59
400,2888027,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,49,QVM-Therry St (South),119
401,2888028,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,50,Faraday St-Lygon St (West),81
402,2888029,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,51,QVM-Franklin St (North),62
403,2888030,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,52,Elizabeth St-Lonsdale St (South),263
404,2888031,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,54,Lincoln-Swanston(West),68
405,2888032,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,55,Elizabeth St-La Trobe St (East),470
406,2888033,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,56,Lonsdale St - Elizabeth St (North),102
407,2888034,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,57,Bourke St Bridge,35
408,2888035,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,58,Bourke St - Spencer St (North),246
409,2888036,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,59,Swanston St - RMIT Building 80,1
410,2888037,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,61,Swanston St - RMIT Building 14,166
411,2888038,2019-11-02T00:00:00.000,2019,November,2,Saturday,0,62,La Trobe St (North),124
412,2888039,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,4,Town Hall (West),375
413,2888040,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,17,Collins Place (South),43
414,2888041,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,18,Collins Place (North),14
415,2888042,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,53,Collins St (North),105
416,2888043,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,2,Bourke Street Mall (South),92
417,2888044,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,1,Bourke Street Mall (North),142
418,2888045,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,3,Melbourne Central,505
419,2888046,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,15,State Library,222
420,2888047,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,9,Southern Cross Station,19
421,2888048,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,10,Victoria Point,8
422,2888049,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,12,New Quay,40
423,2888050,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,11,Waterfront City,3
424,2888051,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,8,Webb Bridge,17
425,2888052,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,7,Birrarung Marr,106
426,2888053,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,5,Princes Bridge,300
427,2888054,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,6,Flinders Street Station Underpass,497
428,2888055,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,14,Sandridge Bridge,2
429,2888056,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,26,QV Market-Elizabeth St (West),157
430,2888057,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,24,Spencer St-Collins St (North),215
431,2888058,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,23,Spencer St-Collins St (South),80
432,2888059,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,25,Melbourne Convention Exhibition Centre,259
433,2888060,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,21,Bourke St-Russell St (West),441
434,2888061,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,20,Chinatown-Lt Bourke St (South),176
435,2888062,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,19,Chinatown-Swanston St (North),308
436,2888063,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,22,Flinders St-Elizabeth St (East),453
437,2888064,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,27,QV Market-Peel St,26
438,2888065,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,28,The Arts Centre,74
439,2888066,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,31,Lygon St (West),110
440,2888067,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,30,Lonsdale St (South),460
441,2888068,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,34,Flinders St-Spark La,21
442,2888069,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,39,Alfred Place,10
443,2888070,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,37,Lygon St (East),23
444,2888071,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,40,Lonsdale St-Spring St (West),62
445,2888072,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,36,Queen St (West),298
446,2888073,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,29,St Kilda Rd-Alexandra Gardens,38
447,2888074,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,42,Grattan St-Swanston St (West),329
448,2888075,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,43,Monash Rd-Swanston St (West),16
449,2888076,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,44,Tin Alley-Swanston St (West),9
450,2888077,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,35,Southbank,304
451,2888078,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,45,Little Collins St-Swanston St (East),248
452,2888079,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,46,Pelham St (S),9
453,2888080,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,47,Melbourne Central-Elizabeth St (East),260
454,2845162,2019-09-29T14:00:00.000,2019,September,29,Sunday,14,46,Pelham St (S),104
455,2888081,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,48,QVM-Queen St (East),33
456,2888082,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,49,QVM-Therry St (South),94
457,2888083,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,50,Faraday St-Lygon St (West),19
458,2888084,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,51,QVM-Franklin St (North),38
459,2888085,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,52,Elizabeth St-Lonsdale St (South),249
460,2888086,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,54,Lincoln-Swanston(West),37
461,2888087,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,55,Elizabeth St-La Trobe St (East),328
462,2888088,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,56,Lonsdale St - Elizabeth St (North),71
463,2888089,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,57,Bourke St Bridge,27
464,2888090,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,58,Bourke St - Spencer St (North),156
465,2888091,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,59,Swanston St - RMIT Building 80,0
466,2888092,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,61,Swanston St - RMIT Building 14,83
467,2888093,2019-11-02T01:00:00.000,2019,November,2,Saturday,1,62,La Trobe St (North),95
468,2888094,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,4,Town Hall (West),205
469,2888095,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,17,Collins Place (South),23
470,2888096,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,18,Collins Place (North),15
471,2888097,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,53,Collins St (North),45
472,2888098,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,2,Bourke Street Mall (South),74
473,2888099,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,1,Bourke Street Mall (North),63
474,2888100,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,3,Melbourne Central,301
475,2888101,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,15,State Library,83
476,2888102,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,9,Southern Cross Station,15
477,2888103,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,10,Victoria Point,10
478,2888104,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,12,New Quay,4
479,2888105,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,11,Waterfront City,0
480,2888106,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,8,Webb Bridge,7
481,2888107,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,7,Birrarung Marr,2
482,2888108,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,5,Princes Bridge,111
483,2888109,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,6,Flinders Street Station Underpass,195
484,2888110,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,14,Sandridge Bridge,7
485,2888111,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,26,QV Market-Elizabeth St (West),110
486,2888112,2019-11-02T02:00:00.000,2019,November,2,Saturday,2,24,Spencer St-Collins St (North),91
